position,company,location,overview,deadline,url,job description
Associate Technical Specialist,Pearson Lanka Pvt Ltd,Colombo,Minimum four (5) years of experience in software engineering and design One (1) year of additional experience in a similar capacity providing architectural & engineering guidance to the teams. Please refer to the job advert for further information.,Expires on 13/05/2020,https://xpress.jobs/Jobs/View/59008?Sectors=30,"Associate Technical SpecialistDescriptionOverviewPearson is a global education company that helps people around the world to make progress in their lives through learning. With a rich heritage that combines 150 years of experience in publishing with the latest learning technology and digital services, we help people to learn whatever, wherever and however they choose. We are now transforming Pearson to accelerate our activity in digital learning, education services, and emerging markets. This will enable us to make a lasting impact in helping to solve some of the most important challenges in global education.The RoleA key architectural / engineering role in the project lifecycle working closely with the lead architect and the team. Works directly with product teams to learn and document the technical aspects of both their business and technical requirements. Performs cost-benefit analysis, architectural tradeoff analysis, and research to identify the most cost-effective/efficient solutions to implement. Demonstrates how the proposed solutions address the business challenges and guides software engineering teams to implement them.QualificationsExperience, Skills & Qualifications● Minimum four (5) years of experience in software engineering and design● One (1) year of additional experience in a similar capacity providing architectural & engineering guidance to the teams.● Bachelor's degree in Computing, Information Technology, Mathematics, Physics or equivalent.● Strong skills and passion in software architecture & design and the desire to learn and continuously improve on the product quality, performance and other nonfunctionalRequirements.● Strong technical skills and hands-on experience in Java, Node JS, Perl and related tools & technologies including open-source front-end & server-side technologies.● Experience in AWS or other cloud computing.● Hands-on experience on Linux/ Unix OS● Hands-on experience on RDBMS technologies and understanding of NoSQL and Big Data architecture.● Experience and knowledge on OOP, Analysis & Design, Architectural & Design Patterns, Unit Testing and development of highly scalable web applications.● Experience in Agile software development practices such as SCRUM & TDD / ATDD.● Basic experience or knowledge on building, packaging & deployment tools, web & application servers and database technologies.● Provision of in-depth technical skills to fix Adhoc incidents/problems, mentoring and support DevOps teams to ensure best practice.● Strong and effective interpersonal and communication skills and the ability to interact with prompt and professionalism to the teams across multiple geographies and time zones.Please click the APPLY button to send your CV Via XpressJobs"
"Senior Front End Engineer| Full-time, Colombo-based",Trabeya Pty Ltd,Colombo,"Bachelor's degree or higher in Computer Science, Software Engineering or equivalent 3+ years of industry experience building and delivering user experiences and application features in a similar role Please refer to the job advert for further information.",Expires on 13/05/2020,https://xpress.jobs/Jobs/View/58977?Sectors=30,"SENIOR FRONT-END ENGINEER | Full-time, Colombo-basedWe are on the lookout for a talented and self-motivated individual to join our dynamic and collaborative teamRole OverviewThe successful candidate will endeavor with other engineers, business analysts and data scientists to deliver data-driven business solutions leveraging machine intelligence, taking ownership of front-end development for these.Essential Functions and ResponsibilitiesDrive full cycle end-to-end development from design ideation through live deployment, with a focus on design and architectural vision, implementing or leading teams to implement new features, automated testing and release management Collaborate with design and product teams to create intuitive, responsive user interfaces around innovative workflows Implement UI/UX designs and features and improve these iteratively with feedback to enhance user satisfactionTranslate understanding of requirements to architecture, design and test-driven development plans addressing these Consult on robust, reactive and efficient API design, development and testing with back-end development teams Engage with clients/domain experts, business analysts, data scientists and other engineers to ensure that business requirements and expected outcomes are compatible with constraints on data sources, data strategy, and available or planned architecture and make recommendations where necessary, focusing on the front-end and user experience Maintain codebase integrity, documentation, version control and organizational best practices including code reviewsStay current with technologies and best practices and make well-reasoned proposals to drive meaningful changeRequirementsBachelor's degree or higher in Computer Science, Software Engineering or equivalent 3+ years of industry experience building and delivering user experiences and application features in a similar role In-depth knowledge of HTML5, CSS3, ES6 and AJAX Experience working with a modern JavaScript framework such as Angular (Angular 2 or later) or React with TypeScript Solid working knowledge of HTTP, RESTful APIs and databases (RDBMS or NoSQL) Ability to work across the full stack is highly advantageousPlease click the APPLY button to send your CV Via XpressJobs"
Ruby on Rails Developer,S.A.Knowledge Services (Pvt) Ltd,Colombo,Should have 2 to 3 years of Software development experience. Please refer to the job advert for further information.,Expires on 13/05/2020,https://xpress.jobs/Jobs/View/59089?Sectors=30,"RUBY ON RAILS DEVELOPERVeracityDev is an agile, Mobile & Web applications, Game, AI & Blockchain application and AR & VR application development team that offers seamless integration amongst multiple digital avenues. We cater to a diverse portfolio of clients from US, UK, Norway, Australia, Vietnam and Sri Lanka. WE ARE LOOKING FOR AN ENERGETIC, SELF-MOTIVATED INDIVIDUAL TO SERVE OUR LEADING CLIENT IN AUSTRALIAIDEAL TECHNICAL PREREQUISITESStrong experience with Ruby on Rails Extensive understanding of HTML and CSS Good working knowledge of Javascript Working understanding of MySQL/PostgreSQL. Server-side/Middleware (REST API services, microservices)OTHER ESSENTIALS Have 2 to 3 years of Software development experience Possess a degree or equivalent qualification in Computer Science, Engineering or equivalent Ability to self-learn and accept challenges Proven track record of being a strong team player Ability to see the “big picture"" and implement solutions that fit into the existing architecture. Excellent written and verbal communication skills in EnglishIf you feel you are the right candidate for the above, with a passion to work with diverse groups of people in a dynamic and unique working environment, we would like to hear from you.275, Nawala Road, NawalaPlease click the APPLY button to upload your CV via XpressJobs"
Internship Program 3 to 4 months,S.A.Knowledge Services (Pvt) Ltd,Colombo,Internship Program 3 to 4 months. Please refer to the job advert for further information.,Expires on 13/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30,Veracity DEV Internship Program 3 to 4 monthsTechnologies:• PHP• NodeJS• SQL / MongoDB• ExpressJS and ReactJS• Experience in SailsJS and ElectronJs is a plusPlease click the APPLY button to upload your CV via XpressJobs
Ionic Mobile Developers,S.A.Knowledge Services (Pvt) Ltd,Colombo,"Strong JavaScript coding experience. Server-side/Middleware (REST API services, microservices). Please refer to the job advert for further information.",Expires on 13/05/2020,https://xpress.jobs/Jobs/View/58976?Sectors=30,"Ionic Mobile DevelopersVeracityDev is an agile, Mobile & Web applications, Game, Al & Blockchain application and AR & VR application development team that offers seamless integration amongst multiple digital avenues. We cater to a diverse portfolio of clients from US, UK, Norway, Australia, Vietnam and Sri Lanka.WE ARE LOOKING FOR AN ENERGETIC, SELF-MOTIVATED INDIVIDUAL TO SERVE OUR LEADING CLIENT IN AUSTRALIAIDEAL TECHNICAL PREREQUISITESKnowledge lonic framework Knowledge in lonic Pro Strong JavaScript coding experience Server-side/Middleware (REST API services, microservices)OTHER ESSENTIALSHave 2 to 3 years of Software development experience Possess a degree or equivalent qualification in Computer Science, Engineering or equivalent Ability to self-learn and accept challenges Proven track record of being a strong team player Understanding of software design principles and interface guidelines Excellent written and verbal communication skills in EnglishIf you feel you are the right candidate for the above, with a passion to work with diverse groups of people in a dynamic and unique working environment, we would like to hear from you.Veracity DEV275, Nawala Road, NawalaPlease click the APPLY button to upload your CV via XpressJobs"
Front End Developer,Macoocoo Pte Ltd,Colombo,"Macoocoo is a cloud/web-based/hosted software solution which provides functionality for sporting organizations such as governing bodies, sports clubs, event management companies, media, and production companies and educational bodies to manage competitions, tournaments and leagues, and behind-the-scenes administration. Macoocoo is starti...",Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59016?Sectors=30,"Front End DeveloperAs a Frontend Web Developer, you will have an opportunity to influence the new front end technologies used by Macoocoo. Currently, the frontend for the website is developed with the Yii Framework (utilizing jQuery) which is coming to the end of life. The hybrid apps are developed using Onsen UI with jQuery on the Monaca platform. The ideal candidate will have experience building interactive web pages and hybrid mobile apps, have experience developing websites on a PHP-based framework.While it is critically important to understand the “how” as a front-end developer, it is equally important to understand the “why” behind the projects you will be working on. You’re a perfect fit for this role if you are a detail-oriented problem solver, who can work and contribute to the team not only as a developer but as a resource to help provide feedback and insights into how we can help deliver company-wide goals.What you’ll do:Develop, test, and deliver clean, production-ready codeEnsure the technical feasibility of UX/UI designsBuild abstract modules/widgets for cross-site implementationBuild and maintain a clean and lightweight code repository for all production codeWrite unit tests to be executed with every build (coverage > 80%)Be a confident developer, excited by learning new technologiesCollaborate with project managers, web team members, and other stakeholders as requiredBe able to effectively communicate ideas and goals to non-technical stakeholders for any given projectMeet clients, educate clients, support their usage of the platform and occasionally attend tournamentsExperience and knowledge:3 - 6 years’ experience in front-end web developmentProficient understanding of web markup, including HTML5 and CSS3Strong familiarity with PHP-based MVC frameworksStrong understanding of web application security principles and best practicesStrong knowledge of git, and an understanding of code repository best practicesMySQL experience, with proven ability to write SQL queriesProven understanding of task runners/pre-processorsGood understanding of SEO principles and how your code adheres to these principles and best practicesPlease click the APPLY button to send your CV Via XpressJobs"
Web Developers (Galle),Clutch Gen Esports,Colombo,INSTELLER SPECIALIZE IN GAMING AND SOFTWARE DEVELOPMENT ACCROSS THE GLOBE. Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59084?Sectors=30,"insteler WEB DEVELOPERTHIS ROLE IS FOR A TALENTED WEB DEVELOPER WITH A PREFERENCE, PASSION AND FLAIR FOR THE USER AND CUSTOMER EXPERIENCE UTILISING REACT. WE LOVE TO PUSH TECHNOLOGY AS FAR AS IT CAN GO AND ARE ALWAYS LOOKING FOR WAYS TO IMPROVE. YOU WILL BE GIVEN AUTONOMY AND ACCOUNTABILITY, TRUSTED AS A TECHNICAL EXPERT AND WILL BE A PART OF THE TEAM THAT HANDLES OVERSEAS PROJECTS.YOUR RESPONSIBILITIESBUILD QUALITY APPLICATIONS USING LEADING TOOLSCOLLABORATE WITH TEAM MEMBERS IN A SELF-AUTONOMOUS AGILE SQUAD WHERE EVERYONE IS INVOLVED IN PRODUCT DECISIONS.YOUR EXPERIENCEEXPERIENCE AS A WEB DEVELOPER,/FULL STACK DEVELOPER. COMMERCIAL, HANDS-ON EXPERIENCE WITH REACT ON THE FRONT END SOLID UNDERSTANDING OF STANDARD FRONT-END - HIML AND CSSADVANCED JAVASCRIPT PROFICIENCYEXPERIENCE WITH NATIVE APPS IS ADVANTAGEOUS THE ABILITY TO ANALYSE AND MAINTAIN JAVA/APEX CODECREATING CONFIGURATION, BUILD, AND TEST SCRIPTS FOR CONTINUOUS DELIVERY""FRESH GRADUATES ARE WELCOME”""INTERVIEW HINT : WHAT IS SALESFORCE?”INSTELLER SPECIALIZE IN GAMING AND SOFTWARE DEVELOPMENT ACCROSS THE GLOBE. Please click the APPLY button to upload your CV via XpressJobs"
UI/UX Designers (Galle),Clutch Gen Esports,Colombo,INSTELLER SPECIALIZE IN GAMING AND SOFTWARE DEVELOPMENT ACCROSS THE GLOBE. Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59085?Sectors=30,"insteller UI/UX DESIGNERSWE ARE SEEKING THE SERVICES OF A FRONT END DEVELOPER TO ASSIST WITH THE DELIVERY OF A NUMBER DIGITAL PRODUCTS INCLUDING, REDEVELOPMENT OF KEY WEBSITES, MOBILE APP DEVELOPMENT, WEB APP DEVELOPMENT, AND SUPPORT OF OTHER CLIENT/STAFF FACING SOLUTIONS.YOUR RESPONSIBILITIESWEB INTERFACE DESIGNING MOBILE INTERFACE DESIGNING WEB APPLICATION DEVELOPMENTIDENTIFYING BUSINESS REQUIREMENTS LEADING AND MENTORING OTHERS INREQUIREMENTS/SKILLSCORE SKILLS REQUIREDUX/UI DESIGN ANGULAR/VUE/REACTHTML5 + CSS OOP GITSHOULD BE A RESIDENT IN GALLEDESIRABLE SKILLS FLUTTER / ICONIC / REACT NATIVELARAVELMEANINSTELLER SPECIALIZE IN GAMING AND SOFTWARE DEVELOPMENT ACROSS THE GLOBE. Please click the APPLY button to upload your CV via XpressJobs"
Senior Software Engineer (Full Stack),Cemex Software (Pvt) Ltd,Colombo,Please refer to the job advert for further information.,Expires on 11/05/2020,https://xpress.jobs/Jobs/View/50696?Sectors=30,"SENIOR SOFTWARE ENGINEERCemex Software (Pvt) Ltd, specializes in the development of a cloud based HRM software solution to the Sri Lankan and International markets under the brand name Cemex HRM. Experience & Qualifications:·       4+ years experience in multi-tier web based applications using C#, ASP.net MVC, ASP.net WebAPI, T-SQL and Entity Framework ·       Ability to work both independently and in team environment ·       Willingness to learn new technology and has positive attitude ·       Having HRM domain knowledge would be an added advantagePlease click APPLY button into Upload your CV Via XpressJobs to set up an online interview"
IT Engineers - Virtual Desktop Support,Global Choice Marketing Ltd,Colombo,"Responsible to provide Desktop support and Network related support inquiries. Diagnose, Fix and Maintain Desktops and rectify complex issues remotely to an English speaking client base.",Expires on 12/05/2020,https://xpress.jobs/Jobs/View/58970?Sectors=30,"IT Engineers - Virtual Desktop SupportRole:Responsible to provide Desktop support and Network related support inquiries. Diagnose, Fix and Maintain Desktops and rectify complex issues remotely to an English speaking client base.Qualifications & Expertise:Bachelor's Degree in IT or related field from a recognized universityMinimum of 5 years relevant work experiencePossess advanced troubleshooting and experience in end-user support and providing both front and back-end supportHands on experience in an environment handling 50+ desktopsSkills & Personal attributes:Excellent communication skills in both written and spoken in English (compulsory) Ability to work independently with minimum supervision Strong interpersonal skills in problem solving, assertiveness, decision makingExperience in remote desktop management, wireless technologies, file and print services and virus security patchingFlexible and willing to work for Night shifts (US time)Please click the APPLY button to send your CV through XpressJobs"
WordPress Designer,DForce,Colombo,"We are a fast-growing, fresh-thinking, award-winning agency looking for an experienced WordPress Web Developer (front-end) with design experience.",Expires on 12/05/2020,https://xpress.jobs/Jobs/View/58742?Sectors=30,"Wordpress DesignerWe are a fast-growing, fresh-thinking, award-winning agency looking for an experienced WordPress Web Developer (front-end) with design experience.Our ideal candidate:Has a strong and diverse portfolio that demonstrates impactful website design.Is proficient in building websites in WordPressExperienced in building B2B and B2C websites for clients.Can implement standard design principles within website builds.Responsibilities:Develop front-end strategy and implementation on websites as well as produce internal projects.Our experienced designers will take the lead in design but we want to ensure that this person has an eye for design as well.Research, test, and implement plug-ins that allow for development efficiencies.Work with back-end and full stack developers to ensure each site is user-friendly and functions properly.Requirements:2-5 years of experience either at an agency, freelancing, or working client-direct.Extensive WordPress experience.Extensive experience and expertise in the Adobe Creative Suite (CS5) – Adobe XD.Candidates may be required to submit a work sample or complete an assessment.Please click the APPLY button to send your CV Via XpressJobs"
Product Marketing Specialist - Female,Job Aims,Colombo,Kindly apply only if you have Sales & marketing experience in the IT sector! Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/58665?Sectors=30,"Product Marketing Specialist - FemaleKindly apply only if you have Sales & marketing experience in the IT sector!What We Are Looking For In You?ResponsibilitiesAct as the product owner for the respective products and intermediary between the client and the development team and provide recommendations and product enhancements depending on market gap and requirements.High analytical IQ with the ability to discover insights that shape decisions in complex sources of data externally in the market and within our internal business, product, and organization.Defining KPIs and tracking results.Develop compelling value propositions that resonate with our target personas.Customer product demo and requirement elicitation for related product(s).Preparing presentations, proposals and demo scenarios for product demonstrations.Extensive competitor analysis and research for feature documentation, pricing and customer base for related products in the market.Manage social media channels for the related product(s) and coordinate with the marketing team for collateral creation and dissemination.Annual business development planning with sales and product team to meet targeted market entry.Identify and develop new innovative use cases for our products for rapid growth.Inspire the sales teams with compelling sales enablement plans and materials.Create sales tools and marketing assets which support each stage of the buyer journey, driving pipeline acceleration.Pre – RequisitesIdeally 5+ years’ experience in Product Marketing for a B2B SaaS, enterprise software, Travel or FMCG company.Degree level or equivalent.CIM/SLIM qualification a bonus.Able to work to tight deadlines.Strong presentation & communications skills.Strong writing skills and proven experience in creating high impact value propositions.Good planning and organisational skills.Please click the APPLY button to send your CV Via XpressJobs"
Data Warehousing Consultant,Trabeya Pty Ltd,Colombo,"We are on the lookout for talented, innovative and self-motivated individuals who are passionate about next-generation data platforms to power machine learning at scale to join our dynamic and collaborative team. Please refer to the job advert for further information.",Expires on 12/05/2020,https://xpress.jobs/Jobs/View/58647?Sectors=30,"DATA WAREHOUSING CONSULTANT Full-time, Colombo-basedWe are on the lookout for talented, innovative and self-motivated individuals who are passionate about next-generation data platforms to power machine learning at scale to join our dynamic and collaborative team.Role OverviewThe successful candidate will contribute expertise in defining overall data models, data dictionaries, designing technical architecture, developing SQL data warehouses, cubes and ETLs and data lake ELTs, as well as developing all reporting layer components needed for serving business intelligence insights to usersEssential Functions and ResponsibilitiesDesign, implement and manage ETL (Extract, Transform and Load) and ELT processes from multiple heterogeneous source systems Design, develop and manage Data Warehouses/Data Marts and OLTP/OLAP databases Configure and manage Data-as-a-Service platform instances with Amazon S3 or Microsoft Azure Data Lake Storage or on-premise Configure and manage major cloud vendor services for business intelligence, including data integration from:Azure Data Factory, HDinsight, and Databricks o Amazon RedshiftGCP BigTable and Big Query Develop interactive visualizations using business intelligence tools such as Power Bland Tableau Implement, track and document query optimizations, data governance requirements and testing of pipelines in the relevant environmentsRequirementsKnowledge consistent with a Bachelor's Degree or a professional qualification in Computer Science, Data Analytics, Software Engineering or similar Excellent SQL skills and capability transforming data and developing pipelines as per various business needs Knowledge and demonstrable experience in the design and development of stored procedures, procedural SQL, SQL Server DTS, SSIS, SSRS and SSAS Minimum four (04) years of experience as a Senior Database Administrator/Data Warehousing Engineer, experience working on offshore projects will be an advantage Experience with Data Lake or NoSQL database management is advantageousAbility to develop good communication channels and partnerships with the eventual consumers of analytics to understand and anticipate business needs as well as other stakeholders Ability to learn new technologies and collaborate effectively with the Data Engineering and Product teams with minimum supervisionOur CultureWe believe that curiosity and continuous self-improvement in a collaborative and open work environment makes for effective teams. Our ideal candidate is a team player who genuinely enjoys solving problems in a fast-paced environment, applying sound critical judgement in the planning and execution of tasks and exemplifying professionalism throughout.About TrabeyaTrabeya is a cutting-edge advanced data analytics and custom Al solution provider for enterprise businesses. With our open and innovative culture, Trabeya focuses on delivering world-class solutions by combining people, processes and technologies to helporganizations transform how data is used to make better business decisions.If you are a seasoned Data Warehousing Consultant with a drive for professional growth, international exposure, and careeradvancement, we would be excited to hear from you.Please click the APPLY button to send your CV Via XpressJobs"
Senior Software Engineer – Python,Aeturnum Lanka Private Limited,Colombo,Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/57109?Sectors=30,"Senior Software Engineer – PythonMANDATORY SKILLS✓ Knowledge and Experience in Python with familiarity algorithmsand OOP Concepts.✓ Knowledge and Experience in numpy, scipy, matplotlib, pandasand cvxpy will be an added advantage.✓ Knowledge and Experience in Django, Flask will be an addedadvantage.✓ Experience in database design and development with MySQL /Mongo DB.✓ Experience in Web Services and REST✓ Knowledge on Microservices will be an added advantage.✓ Knowledge in Linux scripting will be an added advantage✓ Knowledge on Version Control Systems (SVN, GIT etc.)✓ Experience working in projects that followed an Agilemethodology will be an added advantage✓ Knowledge in PyCharm, VS-Code and IntelliJ IDEs will be anadded advantage✓ Knowledge in application modeling with UML will be an addedadvantage✓ Ability to multitask in a demanding environment✓ Openness and willingness to learn multiple technologies in ashort turnaround timeEDUCATION & EXPERIENCE REQUIRED✓ Bachelor’s degree in Information Technology/SoftwareEngineering or any other related degree.✓ 3 - 5 years of industry experience.✓ Good communication skills, both written and verbal.Interested?If you think you meet the above criteria and have what it takes to be a part of our team ofprofessionals, we would like to hear from you soon.An attractive remuneration package will be offered to suitable candidates.Headquartered in Boston, Massachusetts, USA, Aeturnum is a company that offers a full range of IT services undercompressing delivery timeframes, offering its customers complete end-to-end business and technology solutions witha diverse range of technical expertise and in-depth domain knowledge combining the right people and cutting edgetechnologies."
Front-end R&D Engineer (Angular),Shine Bridge Solutions (Private) Limited,Colombo,Bachelors degree in IT / software engineering or related degree Industrial experience in angular development Please refer the advert for further information,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/56470?Sectors=30,"We like to keep things revolutionize.Roomhunt.lk is a startup under Shine Bridge Solutions (Pvt) Ltd and we are aiming for the stars and moon. We have an exciting journey ahead and want you to be part of our team.We are growing… come join us!If you want to taste the real start-up mix, do apply to be part of a team who;* Are excited to learn and build things up.* Will get company stock options in the long run * Loves much more flexibility like .. come to work in shorts, work remotely ..etc.* Want a little bit more exposure than what your job role defines you.We are Hiring;Front-end R&D Engineer (Angular)Bachelors degree in IT / software engineering or related degree Industrial experience in angular developmentKnowledge in agile, scrum knowledge in Gitlab Please click the APPLY button to send your CV Via XpressJobs"
Graphic Designer,SIXTH SENSE DIGITAL,Colombo,Digital Graphic Designer with 2-5 yrs work experience. Please refer to the advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/56464?Sectors=30,"The Digital Designer leads and produces the design function SIXTHSENSE DIGITAL. The position is responsible for delivering effective, aesthetic, on-brand, and on-strategy creative for websites, web pages, social media graphics, and banner ads.Job Duties• Produce the design and production for websites, product graphics, web logos, social media graphics and banners, static and rich banner ads,          email campaigns, and email templates. • Translate product positioning, existing research, and offline/online Marketing strategies into effective designs.• Work with the team of Digital Marketing to translate and create marketing requirements into compelling, appropriate campaigns and designs.• Ensure consistency of brand and creative across digital customer touchpoints.• Provide design support to other business lines to create product graphics, logos, identity design, or other similar offline graphics.Qualifications• Minimum 2 years of successful professional design experience, preferably at a digital agency or in-house Web team for a product-driven business.• Strong portfolio of design work, showing a solution to business problems through effective design.• Experience in web marketing/web design with a strong knowledge of HTML, Photoshop, FTP, web design and development principles• Strong work ethic and personal accountability• Strong attention to detail• Strong time management• Good interpersonal skills• Proficient with Adobe Creative Suite products, Photoshop in particularPlease click the APPLY button to send your CV Via XpressJobs"
Front-End Developers - Venus IT (Matara),Venus IT (Pvt) Ltd,Colombo,Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/52101?Sectors=30,"Front-End Developers - Venus IT (Matara) ImmediateDESIRED SKILLSAt least 1-2 years of front end development experience with web and mobile apps. In depth JavaScript Experience (EBB, ESP, Type Script, Jquery) and Frontend Templating (mustache, handlebars etc.) Experienced in Modern SPA frameworks. (Angular 6, React, ETC)Strong at Frontend and Backend Integration.Strong knowledge of HTML, CSS, SASS Responsive Design Architecture.Knowledge about node package management and pack distribution systems (web pack, gulp etc)Experience with RESTful Services and APIs and Ajax. • Experience in SVN. (Software Version Control)Experience In Agile wIth continues development.Cross-browser and Cross-Platform compatible design and development.Stay up to date with latest Web design, Web standards and Best practices.Ensure that code Delivered is well structured, valid, tested and of a high productions standard.Experience in managing website projects end to end. PERSONAL ATTRIBUTES Good English communication skills. The desire to truly understand the customers' industry and experience. Independent thinker. Good Listener, Very good team player. Please click APPLY button to upload your CV via XpressJobs"
Software Engineer – Robotic Process Automation,InfoMate (Pvt) Ltd,Colombo,Please refer to the job advert for further information.,Expires on 08/05/2020,https://xpress.jobs/Jobs/View/59042?Sectors=30,"Software Engineer – Robotic Process AutomationInfoMate (Pvt) Limited is a fully owned subsidiary of John Keells Group and provides outsourced Accounting & Payroll Services to the companies within the John Keells Group and other third party clients.RequirementsA Degree in Computer science Hands on experience in software developmentGood knowledge in programming languages ( MS .Net, Java)Knowledge in Process Automation Strong understanding of OOPSGood communication skills Ability to create good business documentationFresh graduates will be considered for internships.  Please click the APPLY button to send your CV through XpressJobs"
Tech Lead - Development,H One Private Limited,Colombo,At least 4 years of experience in managing a technical team Experience in Agile Delivery methods (Scrum/ Kanban) Please refer to the job advert for further information.,Expires on 08/05/2020,https://xpress.jobs/Jobs/View/58607?Sectors=30,"FIXED TERM PROJECTTECH LEAD - DEVELOPMENTIf you are a tech expert with a strong software development background and have the passion to create groundbreaking solutions leading an inspiring a team. join our team of experts.Hand-on experience in C#, Java, .Net, Azure cloud servicesClient-side experience (New Angular or React, HTML, CSS, JS)At least 4 years of experience in managing a technical teamExperience in Agile Delivery methods (Scrum/ Kanban)Please click the APPLY button to send your CV Via XpressJobs"
Full Stack Developer,Job Hunty,Colombo,At least 2-3 years’ experience in mobile and web app development environment. Please refer to the job advert for further information.,Expires on 08/05/2020,https://xpress.jobs/Jobs/View/57037?Sectors=30,"Full-Stack DeveloperThe company has a proud history of serving the Australian Healthcare industry for the past 25 years and one of the largest solution providers to medical and surgical specialists and private hospitals in Australia. In keeping up with rapidly evolving technologies in the Healthcare IT sector, Join with Sri Lankan Development Team.Therole of Full-Stack Developer mainly involves view things on a holistic level,can communicate with a team with varying technical expertise, and understandhow our ecosystem of apps work with each other to best implement these newsolutions. This is most definitely not a role for anyone that just wants tocode, but for those that can listen to a brief/problem, and propose the bestway to implement a solution than the quickest way.DesiredSkills & Experience:● Expert-level knowledge of HTML5/CSS3/JavaScript ● Familiarity with Angular and React, and other MVC JSframeworks ● Knowledge of relational database management systems,SQL and MongoDB ● Understanding of AWS and other similar Cloudservices ● Experience with agile project management tools,preferably Atlassian suite ● Experience implementing security protocols to ensuredata security and integrity ● Strong knowledge of software design techniques andgood practices ● A collaborative nature with strong communicationskillsSkillsthat will give preference to:● At least 2-3 years’ experience in mobile and webapp development environment ● Experience using Wavemaker Studio ● Experience building native mobile apps ● UI Design experience or understanding of bestpractices would be highly valued ● Experience with automation testing tools/techniqueswould be highly valued ● Ability to write clear and concise documentationwould be highly valued ● Leadership experience at a tertiary or professionallevel ● Previous experience and/or familiarity of the healthcare industry and/or developing corporate applications would bebeneficialPlease click the APPLY button to send your CV Via XpressJobs"
Senior Backend Engineer,KandianPro Pvt Ltd,Colombo,Please refer to the job advert for further information.,Expires on 08/05/2020,https://xpress.jobs/Jobs/View/53751?Sectors=30,"Senior Backend EngineerKey ResponsibilitiesDevelopment of key features in the backend while maintaining excellent code quality to achieve VoicelQ's technology roadmapDelivery of innovative solutions to complex problemsConsidering and applying best practices and well-known design patternsHolding knowledge sharing sessions with the development teamsOptimising exciting processes to improve efficiencyRequirementsBachelors or Masters Degree in Computer Science (or equivalent work experience).Enthusiasm for solving interesting problems; with real intellectual curiosity and generalism.Experience in leading teamsExperience in delivering products on time with qualityAmbitious and self-drivenAbility to dive in and understand deep technical problems as well as comprehend team dynamics and set the technical direction.You're fluent in multiple development languages (static and dynamic), and willing to work mainly with C# using .NetCore and also with other languages as necessary.Experience building real-time applications Experience working collaboratively with geographically distributed teams would be preferable (we have teams in UK, Russia and Sri Lanka)Good written, spoken and interpersonal communication skills. Technical and business level English is a must.Please click the APPLY button to send your CV through XpressJobs"
Senior Front-End Developers,Smashy Design (Pvt) Ltd,Colombo,Experienced front-end web developers who have minimum 4 years of experience in HTML/SASS/Wordpress/Git.,Expires on 08/05/2020,https://xpress.jobs/Jobs/View/52776?Sectors=30,"Senior Front-End DevelopersWe are looking for a highly capable front-end web developer to be responsible for developing solutions for our clients.You:Have a healthy passion for all things digital!Take pride in your work and strive to consistently improve your skill setEnjoy helping people to learn how to use technologyHave fantastic communication skillsHave a passion for writing clean codeHave Excellent problem-solving abilitiesHave Awareness of emerging technologiesContribute, innovate and constantly strive to improve yourself and the teamSkills, Knowledge, and Experience:Technical expertise and experience within HTML5, CSS3, jQuery, JavaScript, PHP, MySQL, Source Control (GIT) and Linux/Unix.Minimum 4 years of ExperienceExperience using WordPress or other CMS.An innovator with the ability to adapt and learn the relevance and potential impact of emerging technologiesExcellent problem-solving skills with strong attention to detail.Strong team player with superior interpersonal and communication skills.If you are a highly driven and innovative digital professional seeking a position which will offer diversity and career progression opportunities, then this is the role for you!Please click the APPLY button to send in your CV through XpressJobs"
